id,texto,texto_ed,etiqueta_final,etiqueta_etapa0
163,Se entrego alimentos en domicilio el 08/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
164,En el día de la fecha retiró caja de alimentos,fecha retiro caja alimentos,NECESIDADES OPERATIVAS,NR
165,"Hablé con Leticia, se encuentra bien. Ayer la llamé y no me atendió, hoy la llamé y tampoco, parece que le funciona mal el celular. De todos modos más tarde logré comunicarme.",hable llame atendio llame funciona celular modos logre comunicarme,POSITIVO,R
166,Intenté nuevamente pero vuelve a indicar que el número de teléfono no corresponde a un abonado en servicio.,intente nuevamente vuelve indicar numero telefono corresponde abonado servicio,NO RELEVANTE,NR
167,llamado,llamado,NO RELEVANTE,NR
168,"Llamo el 13/05, me indica que no requiere asistencia ya que se encuentra bien y que salen muy poco, a hacer las compras únicamente.",llamo _digit_ _digit_ indica requiere asistencia salen compras unicamente,POSITIVO,R
169,Se encuentra bien,,POSITIVO,R
170,La Señora Beatríz Dib se encuentra bien.,senora dib,POSITIVO,R
171,"20/08- MARIA DEL CARMEN CON MUCHO DOLOR DE CUELLO POR LA CAIDA SIGUE CON EL OJO NEGRO.
21/08- MARIA DEL CARMEN VA MEJORANDO DEL OJO Y LOS DOLORES DEL CUERPO",_digit_ _digit_- carmen dolor cuello caida ojo negro _digit_ _digit_- carmen mejorando ojo dolores cuerpo,NEGATIVO,R
172,"Está bien y necesita alimentos, ya realicé el pedido.",necesita alimentos realice pedido,NECESIDADES OPERATIVAS,NR
173,Está muy bien de ánimo. Me cuenta que está terminando de tejer un sweater. Está aprendiendo con un programa que ve por yputube de tejido y ya hizo varias cosas fáciles para sus nietos. Siempre habla con su hermana que es abogada y vive en congreso.,animo terminando tejer sweater aprendiendo programa ve yputube tejido faciles nietos hermana abogada vive congreso,POSITIVO,R
174,"Hablo con AM. Se encuentra bien y me comenta que el debia hacerse un estudio de control (Eco stress) y que en la clinica donde debia hacerlo se lo pospusieron ya varias veces.
Quiere saber que hacer en este caso. Cosulto si este estudio lo realizaba a traves de PAMI y me dice que si. 
Quedamos en que lo mejor es que primero hable con PAMI para ver que le indican hacer. 
Consulto si pudo ver la pagina del archivo historico que le indique la vez pasada y me dice que si y que en estos dias volvera a verla ya que es interesante. 
AM me indica que por el momento no necesita nada mas y que  lo llame la semana que viene y que en estos dias intentara hablar con PAMI por su estudio.",hablo am comenta debia hacerse estudio control eco stress clinica debia pospusieron caso cosulto estudio realizaba pami quedamos hable pami indican consulto pagina archivo historico indique volvera verla interesante am indica necesita llame semana viene intentara hablar pami estudio,NEGATIVO,R
175,todo bien. Recibió la tablet. Está averiguando para contratar servicio de internet. Buscando la opción más económica.,recibio tablet averiguando contratar servicio internet buscando opcion economica,POSITIVO,R
176,se entrega alimentos en domicilio 31/7/20.,entrega alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
177,Todo en orden,orden,POSITIVO,R
178,Hablo muy atenta. Agradese la colaboración.  Se encuentra bien y por el momento no necesita nada,hablo atenta agradese colaboracion necesita,POSITIVO,R
179,"Se llamó al número 4513-6624 y se indicó que la persona tiene que llamar a PAMI (4519-5452/3).
Llamé al AM indicandole que tiene que llamar a PAMI.",llamo numero _digit_-_digit_ persona llamar pami _digit_-_digit_ _digit_ llame am indicandole llamar pami,NECESIDADES OPERATIVAS,NR
180,Se entrego alimentos en domicilio el 08/07/2020,entrego alimentos domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
181,Hoy hable con Lucia. Esta muy bien de animo. La invite a los grupos de whatsapp creados para conocer gente y pasar un hermoso momento haciendo dinamicas y charlando con otros AM.   Lo que me apena es que SIGUE PIDIENDOME POR FAVOR QUE LA AYUDEN CON UNA CAJA DE ALIMENTOS.    Yo ya reclame por mail 3 VECES pero no le llego nada aun.  Como puedo hacer para lograrlo?    Lo necesita por un tema economico.  Son varios en su casa.  Tiene una hija con nietos viviendo en el fondo y esta muy preocupada por este motivo.  Es una persona super agradable y educada.   Sugiero que la agreguen en la lista para RECIBIR la caja de alimentos.  O espero alguna respuesta para darle a ella.  muchas gracias,hable animo invite grupos whatsapp creados gente pasar hermoso dinamicas charlando am apena pidiendome favor ayuden caja alimentos reclame mail _digit_ lograrlo necesita tema economico casa hija nietos viviendo fondo preocupada motivo persona super agradable educada sugiero agreguen lista recibir caja alimentos espero respuesta darle,NECESIDADES OPERATIVAS,NR
182,Sigue dando ocupado... A mi entender no le funciona el teléfono.,dando ocupado entender funciona telefono,NO RELEVANTE,NR
183,"Hablé con Lidia, todo ok",hable ok,POSITIVO,R
184,saber como se encontraba,encontraba,NO RELEVANTE,NR
185,Hemos realizado la derivación correspondiente al área para el envío de alimentos a domicilio. A la brevedad se estarán comunicando para coordinar la entrega. Saludos!,derivacion correspondiente area envio alimentos domicilio brevedad comunicando coordinar entrega saludos,NECESIDADES OPERATIVAS,NR
186,"Llamada al 47918056, me indica que está acompañado por su hijo, que no están precisando de ayuda. De todas maneras, agradece la atención.",llamada _digit_ indica acompanado hijo precisando ayuda maneras agradece atencion,NEUTRAL,NR
187,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO,_digit_ _digit_ _digit_ entrego alimentos domicilio,NECESIDADES OPERATIVAS,NR
188,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.,entrega cuadernillo estimulacion cognitiva domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
189,HABLE CON LUISA Y  ESTA PLANCHA Y ESCUCHANDO MUSICA,hable luisa plancha escuchando musica,NEUTRAL,NR
190,No responde a los llamados. El contestador indica que no esta disponible,responde llamados contestador indica disponible,NO RELEVANTE,NR
191,Conversamos suele ser de 40' a veces más por eso lo llamó una vez por semana. Se encuentra bien sin novedad,conversamos suele _digit_ llamo semana novedad,POSITIVO,R
192,complete la encuesta,complete encuesta,NO RELEVANTE,NR
193,Sin novedad,novedad,NO RELEVANTE,NR
194,"Hablé con la Sra. Maria Esther, me contó que venia de hacer unas compras aprovechando el sol, y que pudo solucionar el provblema que la angustiaba sobre el exceso de luz de estos dos meses mal medidos, lo cual tenía que abonar $$4000, pero una vecina a traves de mail, se contactó para que le atienedan el pedido y se comunicaron con ella vinieron a resolverle el problema del medidor ilegible, y le hicieron abonar $55 y ahora tendra que esperar a la próxima boleta para ver que no siga la deuda y que venga un consumo normal como pagaba..Por cierto me djijo que le habian dicho que ya le estaban por cortar la luz  porque no había pagado...por suerte mostro los reclamos y al ocuparse lo solucionaron... Ahora está mas tranquila...",hable esther conto venia compras aprovechando sol solucionar provblema angustiaba exceso luz meses medidos abonar $$_digit_ vecina mail contacto atienedan pedido comunicaron vinieron resolverle problema medidor ilegible abonar $_digit_ esperar proxima boleta siga deuda venga consumo normal pagaba djijo cortar luz pagado suerte mostro reclamos ocuparse solucionaron tranquila,NEGATIVO,R
195,"ÚLTIMO CONTACTO:
Le comento a la AM que por una cuestión laboral no voy a poder continuar con el voluntariado y que le van a asignar otra persona. Le digo que igualmente todo lo que hicimos queda registrado en el sistema y que el próximo voluntario va a poder tener acceso para seguir ayudándola. Me agradece por todo y me dice que fue un gusto conocerme, y que la ayudé mucho.",contacto am cuestion laboral continuar voluntariado asignar persona digo igualmente hicimos queda registrado sistema voluntario acceso seguir ayudandola agradece gusto conocerme ayude,NO RELEVANTE,NR
196,"AM indica que no necesita nada.
No esta interesada en que le volvamos a llamar.",am indica necesita interesada volvamos llamar,NO RELEVANTE,NR
197,NECESITA QUE ALGUIEN RETIRE LAS RECETAS QUE LE PREPARò SU MEDICO.,necesita alguien retire recetas preparo medico,NECESIDADES OPERATIVAS,NR
198,"Hablo con AM. 
Se encuentra bien y me indica que el escucha poco y que por eso a veces no atiende el telefono.
 Me dice que hay un chico que lo asiste y que puedo hablar con el sin problemas, acepto. 
Quedamos que llamare mañana alrededor de las 15hs para poder hacer la encuesta hablando con el chico que lo asiste.",hablo am indica escucha atiende telefono chico asiste hablar problemas acepto quedamos llamare manana _digit_hs encuesta hablando chico asiste,POSITIVO,R
199,"todo bien, sin novedades",novedades,POSITIVO,R
200,"con dolor de cabeza, pero bien, me conto que salio con el hijo en el auto, sin bajarse. contenta de dar un paseo.",dolor cabeza conto salio hijo auto bajarse contenta paseo,POSITIVO,R
201,-,-,NO RELEVANTE,NR
202,No responde,responde,NO RELEVANTE,NR
203,Sin novedad,novedad,NO RELEVANTE,NR
204,se encuentran bien,encuentran,POSITIVO,R
205,Sin novedad,novedad,NO RELEVANTE,NR
206,"Hablo con la hija para ver si su madre logró vacunarse de acuerdo con el calendario de Pami. La señora y la hija están preocupadas porque la Sra Gaerdenia tiene enfermedad respiratoria preexistente; bronquitis desde jóven y neumonías a repetición. Además padece de enfermedad cardíaca. Ellos solicitan por este medio, para evitar que siga saliendo infructuosamente y corra riesgos innecesarios, vacunación a domicilio o bien asistir al la Uaps  con turno previo y la vacuna asisgnada para evitar la exposición.
Llamaron a la maternidad Santa Rosa pero solo vacunan embarazadas. En ninguna de las dos farmacias habilitadas por Pami, a las que se dirigieron tenían la vacuna. Previo a ir allí, para evitar el traslado, llamó  a la salita barrial Ravazzoli donde tampoco  había y luego se movilizó en taxi para tratar de conseguirla en lo asignado por Pami y no pudo hacerlo.
Considerando la importancia de la vacuna para esta persona con riego respiratorio preexistente será posible vacunarla en su domicilio.
Gracias",hablo hija madre logro vacunarse acuerdo calendario pami senora hija preocupadas gaerdenia enfermedad respiratoria preexistente; bronquitis joven neumonias repeticion padece enfermedad cardiaca solicitan evitar siga saliendo infructuosamente corra riesgos innecesarios vacunacion domicilio asistir uaps turno previo vacuna asisgnada evitar exposicion llamaron maternidad santa rosa vacunan embarazadas farmacias habilitadas pami dirigieron vacuna previo evitar traslado llamo salita barrial ravazzoli movilizo taxi tratar conseguirla asignado pami considerando importancia vacuna persona riego respiratorio preexistente posible vacunarla domicilio,NECESIDADES OPERATIVAS,NR
207,no tiene necesidades y esta bien de salud,necesidades salud,POSITIVO,R
208,Via WPP desestima ayuda,via wpp desestima ayuda,NO RELEVANTE,NR
209,"jue. 14/5, 18.32 - La Sra. Huang dice estar bien. La asiste el hijo con quien vive. No hace gimnasia en el hogar. No hace falta que pase por su hogar. Le comento de la exención de ABL llamando al 147. Tiene lo que necesita. Está bien de ánimo.",jue _digit_ _digit_ _digit_ _digit_ - huang asiste hijo vive gimnasia hogar falta pase hogar exencion abl llamando _digit_ necesita animo,POSITIVO,R
210,"El domingo hablamos con Adriana por mi cumpleaños, me escribió y hablamos un rato. La realidad es que no tiene actualmente muchas necesidades, por lo cual le mando al menos una vez por semana o a veces más un mensajito para ver como está y además toda la información que me pasan del voluntariado.",domingo hablamos cumpleanos escribio hablamos rato realidad necesidades mando semana mensajito informacion pasan voluntariado,NEUTRAL,NR
211,"COMO SEGUIMOS CON ROSA......?????
HAY QUE MODIFICAR LOS DATOS, ESTA SEMANA NO PUDE HABLAR CON ELLA

AHORA SE MUDO A GUEMES 3850 entre Bolivia y  Peru
NOCESITA BOLSÓN ALIMENTARIO URGENTE.
EL TELEFONO FIJO NO LO TIENE MAS POR QUE SE MUDO A GUEMES 3850


LE DIERON DE BAJA? POR QUE? YO MANTENGO CONTACTO POR EL CELULAR POR MAS QUE SE HALLA MUDADO
ES ONCOLOGICA Y NO CONSIGUE LA VACUNA ANTI GRIPAL.

ME CONUNIQUE EL SABADO Y LE PASE TODOS LOS TELEFONOS Y DIRECCIONES DE DONDE PUEDE IR A VACUNARSE . jUEVES O VIERNES VUELVO A COMUNICARME CON LOS ADULTOS MAYORES",seguimos rosa modificar datos semana pude hablar mudo guemes _digit_ bolivia peru nocesita bolson alimentario urgente telefono fijo mudo guemes _digit_ baja mantengo contacto celular halla mudado oncologica vacuna gripal conunique sabado pase telefonos direcciones vacunarse jueves viernes vuelvo comunicarme adultos mayores,NECESIDADES OPERATIVAS,NR
212,"Le escribí a Susana Mendez (DNI 6500088) por whatsapp como paso previo a realizarle una llamada y me respondió que ""no necesita asistencia"". Le dejé mi celular de contacto y le dije que si mas adelante le hacia falta podia contactarme.",escribi susana mendez dni _digit_ whatsapp paso previo realizarle llamada respondio necesita asistencia deje celular contacto dije falta podia contactarme,NO RELEVANTE,NR
213,El AM me comento que se fue a la casa de la hija a pasar unos días y que se encuentra cuidado.,am casa hija pasar cuidado,POSITIVO,R
214,se encuentra bien asistida x sus hijos.  le avise del pedido de la caja al 147,asistida hijos avise pedido caja _digit_,POSITIVO,R
215,SE ENTREGO MATERIAL COGNITIVO  2 EN DOMICILIO 21/08/2020,entrego material cognitivo _digit_ domicilio _digit_ _digit_ _digit_,NECESIDADES OPERATIVAS,NR
216,"Hablamos de todo un poco, sobre la actualidad, sobre su ideología y de su pasado con respecto al tema.",hablamos actualidad ideologia tema,NEUTRAL,NR
217,"Llamo a AM al 1561001534  ya que pactamos una llamada, a las 17hs, pero sin respuesta alguna.

Llamo nuevamente a AM al 1561001534, a las 17:30 , pero sin respuesta de AM.

Llamo nuevamente a AM a las 18 hs, sin respuesta.
 ",llamo am _digit_ pactamos llamada _digit_hs respuesta llamo nuevamente am _digit_ _digit_ _digit_ respuesta am llamo nuevamente am _digit_ hs respuesta,NO RELEVANTE,NR
218,No corresponde a un cliente en servicio.,corresponde cliente servicio,NO RELEVANTE,NR
219,"Hable con Claudio. Fue muy amable y me contó que vive con el hermano y están bien. Me comento que tiene certificado de discapacidad y que esta buscando trabajo, que si la municipalidad tiene alguno para proponerle, el esta dispuesto a hacer todo lo que este a su alcance.",hable conto vive hermano certificado discapacidad buscando trabajo municipalidad proponerle dispuesto alcance,NECESIDADES OPERATIVAS,NR
220,Se encuentra bien de salud. Se pacta nuevo llamado para la semana próxima,salud pacta llamado semana proxima,POSITIVO,R
221,"se encuentra bien , recibio la caja de alimentos",recibio caja alimentos,POSITIVO,R
