etiqueta1,etiqueta1a,etiqueta2,etiqueta2a,etiqueta3,etiqueta3a,etiqueta4,etiqueta4a,etiqueta5,etiqueta_final,id,necesidades operativas,texto
,necesidades operativas,,no relevante,,necesidades operativas,,,,necesidades operativas,179,,"Se llamó al número 4513-6624 y se indicó que la persona tiene que llamar a PAMI (4519-5452/3).
Llamé al AM indicandole que tiene que llamar a PAMI."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,180,,Se entrego alimentos en domicilio el 08/07/2020
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,181,,Hoy hable con Lucia. Esta muy bien de animo. La invite a los grupos de whatsapp creados para conocer gente y pasar un hermoso momento haciendo dinamicas y charlando con otros AM.   Lo que me apena es que SIGUE PIDIENDOME POR FAVOR QUE LA AYUDEN CON UNA CAJA DE ALIMENTOS.    Yo ya reclame por mail 3 VECES pero no le llego nada aun.  Como puedo hacer para lograrlo?    Lo necesita por un tema economico.  Son varios en su casa.  Tiene una hija con nietos viviendo en el fondo y esta muy preocupada por este motivo.  Es una persona super agradable y educada.   Sugiero que la agreguen en la lista para RECIBIR la caja de alimentos.  O espero alguna respuesta para darle a ella.  muchas gracias
,no relevante,,no relevante,,no relevante,,,,no relevante,182,,Sigue dando ocupado... A mi entender no le funciona el teléfono.
,positivo,,positivo,,positivo,,,,positivo,183,,"Hablé con Lidia, todo ok"
,no relevante,,no relevante,,no relevante,,,,no relevante,184,,saber como se encontraba
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,185,,Hemos realizado la derivación correspondiente al área para el envío de alimentos a domicilio. A la brevedad se estarán comunicando para coordinar la entrega. Saludos!
,neutral,,positivo,,neutral,,,,neutral,186,,"Llamada al 47918056, me indica que está acompañado por su hijo, que no están precisando de ayuda. De todas maneras, agradece la atención."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,187,,05/06/2020 SE ENTREGO ALIMENTOS EN DOMICILIO
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,188,,Se entrega Cuadernillo Estimulación Cognitiva I en domicilio 7/8/20.
,neutral,,neutral,,neutral,,,,neutral,189,,HABLE CON LUISA Y  ESTA PLANCHA Y ESCUCHANDO MUSICA
,no relevante,,no relevante,,no relevante,,,,no relevante,190,,No responde a los llamados. El contestador indica que no esta disponible
,positivo,,positivo,,positivo,,,,positivo,191,,Conversamos suele ser de 40' a veces más por eso lo llamó una vez por semana. Se encuentra bien sin novedad
,no relevante,,no relevante,,no relevante,,,,no relevante,192,,complete la encuesta
,no relevante,,no relevante,,no relevante,,,,no relevante,193,,Sin novedad
,negativo,,negativo,,negativo,,,,negativo,194,,"Hablé con la Sra. Maria Esther, me contó que venia de hacer unas compras aprovechando el sol, y que pudo solucionar el provblema que la angustiaba sobre el exceso de luz de estos dos meses mal medidos, lo cual tenía que abonar $$4000, pero una vecina a traves de mail, se contactó para que le atienedan el pedido y se comunicaron con ella vinieron a resolverle el problema del medidor ilegible, y le hicieron abonar $55 y ahora tendra que esperar a la próxima boleta para ver que no siga la deuda y que venga un consumo normal como pagaba..Por cierto me djijo que le habian dicho que ya le estaban por cortar la luz  porque no había pagado...por suerte mostro los reclamos y al ocuparse lo solucionaron... Ahora está mas tranquila..."
,no relevante,,no relevante,,no relevante,,,,no relevante,195,,"ÚLTIMO CONTACTO:
Le comento a la AM que por una cuestión laboral no voy a poder continuar con el voluntariado y que le van a asignar otra persona. Le digo que igualmente todo lo que hicimos queda registrado en el sistema y que el próximo voluntario va a poder tener acceso para seguir ayudándola. Me agradece por todo y me dice que fue un gusto conocerme, y que la ayudé mucho."
,no relevante,,no relevante,,no relevante,,,,no relevante,196,,"AM indica que no necesita nada.
No esta interesada en que le volvamos a llamar."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,197,,NECESITA QUE ALGUIEN RETIRE LAS RECETAS QUE LE PREPARò SU MEDICO.
,positivo,,positivo,,positivo,,,,positivo,198,,"Hablo con AM. 
Se encuentra bien y me indica que el escucha poco y que por eso a veces no atiende el telefono.
 Me dice que hay un chico que lo asiste y que puedo hablar con el sin problemas, acepto. 
Quedamos que llamare mañana alrededor de las 15hs para poder hacer la encuesta hablando con el chico que lo asiste."
,positivo,,positivo,,positivo,,,,positivo,199,,"todo bien, sin novedades"
,positivo,,positivo,,positivo,,,,positivo,200,,"con dolor de cabeza, pero bien, me conto que salio con el hijo en el auto, sin bajarse. contenta de dar un paseo."
,no relevante,,no relevante,,no relevante,,,,no relevante,201,,-
,no relevante,,no relevante,,no relevante,,,,no relevante,202,,No responde
,no relevante,,no relevante,,no relevante,,,,no relevante,203,,Sin novedad
,positivo,,positivo,,positivo,,,,positivo,204,,se encuentran bien
,no relevante,,no relevante,,no relevante,,,,no relevante,205,,Sin novedad
,negativo,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,206,,"Hablo con la hija para ver si su madre logró vacunarse de acuerdo con el calendario de Pami. La señora y la hija están preocupadas porque la Sra Gaerdenia tiene enfermedad respiratoria preexistente; bronquitis desde jóven y neumonías a repetición. Además padece de enfermedad cardíaca. Ellos solicitan por este medio, para evitar que siga saliendo infructuosamente y corra riesgos innecesarios, vacunación a domicilio o bien asistir al la Uaps  con turno previo y la vacuna asisgnada para evitar la exposición.
Llamaron a la maternidad Santa Rosa pero solo vacunan embarazadas. En ninguna de las dos farmacias habilitadas por Pami, a las que se dirigieron tenían la vacuna. Previo a ir allí, para evitar el traslado, llamó  a la salita barrial Ravazzoli donde tampoco  había y luego se movilizó en taxi para tratar de conseguirla en lo asignado por Pami y no pudo hacerlo.
Considerando la importancia de la vacuna para esta persona con riego respiratorio preexistente será posible vacunarla en su domicilio.
Gracias"
,positivo,,positivo,,positivo,,,,positivo,207,,no tiene necesidades y esta bien de salud
,no relevante,,no relevante,,no relevante,,,,no relevante,208,,Via WPP desestima ayuda
,positivo,,positivo,,positivo,,,,positivo,209,,"jue. 14/5, 18.32 - La Sra. Huang dice estar bien. La asiste el hijo con quien vive. No hace gimnasia en el hogar. No hace falta que pase por su hogar. Le comento de la exención de ABL llamando al 147. Tiene lo que necesita. Está bien de ánimo."
,neutral,,neutral,,neutral,,,,neutral,210,,"El domingo hablamos con Adriana por mi cumpleaños, me escribió y hablamos un rato. La realidad es que no tiene actualmente muchas necesidades, por lo cual le mando al menos una vez por semana o a veces más un mensajito para ver como está y además toda la información que me pasan del voluntariado."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,211,,"COMO SEGUIMOS CON ROSA......?????
HAY QUE MODIFICAR LOS DATOS, ESTA SEMANA NO PUDE HABLAR CON ELLA

AHORA SE MUDO A GUEMES 3850 entre Bolivia y  Peru
NOCESITA BOLSÓN ALIMENTARIO URGENTE.
EL TELEFONO FIJO NO LO TIENE MAS POR QUE SE MUDO A GUEMES 3850


LE DIERON DE BAJA? POR QUE? YO MANTENGO CONTACTO POR EL CELULAR POR MAS QUE SE HALLA MUDADO
ES ONCOLOGICA Y NO CONSIGUE LA VACUNA ANTI GRIPAL.

ME CONUNIQUE EL SABADO Y LE PASE TODOS LOS TELEFONOS Y DIRECCIONES DE DONDE PUEDE IR A VACUNARSE . jUEVES O VIERNES VUELVO A COMUNICARME CON LOS ADULTOS MAYORES"
,no relevante,,no relevante,,no relevante,,,,no relevante,212,,"Le escribí a Susana Mendez (DNI 6500088) por whatsapp como paso previo a realizarle una llamada y me respondió que ""no necesita asistencia"". Le dejé mi celular de contacto y le dije que si mas adelante le hacia falta podia contactarme."
,positivo,,positivo,,positivo,,,,positivo,213,,El AM me comento que se fue a la casa de la hija a pasar unos días y que se encuentra cuidado.
,positivo,,necesidades operativas,,positivo,,,,positivo,214,,se encuentra bien asistida x sus hijos.  le avise del pedido de la caja al 147
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,215,,SE ENTREGO MATERIAL COGNITIVO  2 EN DOMICILIO 21/08/2020
,neutral,,neutral,,neutral,,,,neutral,216,,"Hablamos de todo un poco, sobre la actualidad, sobre su ideología y de su pasado con respecto al tema."
,no relevante,,no relevante,,no relevante,,,,no relevante,217,,"Llamo a AM al 1561001534  ya que pactamos una llamada, a las 17hs, pero sin respuesta alguna.

Llamo nuevamente a AM al 1561001534, a las 17:30 , pero sin respuesta de AM.

Llamo nuevamente a AM a las 18 hs, sin respuesta.
 "
,no relevante,,no relevante,,no relevante,,,,no relevante,218,,No corresponde a un cliente en servicio.
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,219,,"Hable con Claudio. Fue muy amable y me contó que vive con el hermano y están bien. Me comento que tiene certificado de discapacidad y que esta buscando trabajo, que si la municipalidad tiene alguno para proponerle, el esta dispuesto a hacer todo lo que este a su alcance."
,neutral,,positivo,,positivo,,,,positivo,220,,Se encuentra bien de salud. Se pacta nuevo llamado para la semana próxima
,positivo,,positivo,,necesidades operativas,,,,positivo,221,,"se encuentra bien , recibio la caja de alimentos"
,positivo,,positivo,,positivo,,,,positivo,222,,"los dias 4 11/8 no pude establecer contacto , hoy esta bien"
,neutral,,necesidades operativas,,neutral,,,,neutral,223,,"Hablamos un rato, me dijo que la llamaron de la municipalidad para avisarle que en 15 días le hacen entrega de la tablet."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,224,,Agradecidos por el pedido de alimentos que les hice. Y coordine con su esposa Carmen que en el día de mañana que les retiraba la caja de alimentos y se las alcanzaba dado que ambos son de riesgo y  no quieren salir de su domicilio.
,no relevante,,no relevante,,no relevante,,,,no relevante,225,,"Primer llamado el miércoles 27 de Mayo, respuesta de contestador automático indicando que el cliente no está disponible. Intento nuevamente en la semana."
,negativo,,negativo,,negativo,,,,negativo,226,,"En una nueva comunicación, la señora me cuenta que se encuentra algo dolorida por su artrosis y tratando de conseguir un medicamento para el dolor, pero dentro de todo bien de salud y ánimo. Siempre agradecida por el acompañamiento"
,no relevante,,no relevante,,no relevante,,,,no relevante,227,,"Deje mensaje, no contesta nadie."
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,228,,SE ENTREGO MATERIAL COGNITIVO EN DOMICILIO EL 31/07/2020
,neutral,,negativo,,neutral,,,,neutral,229,,"Llamo a AM a (011)-4794-2479, me indica que el lunes no pudo atender las llamadas porque estaba descompuesta y se sentía muy mal,por lo tanto corto las linea de teléfono. Me comenta que se siente muy bien hoy, pero era por un medicamento que le cayo mal. Luego me comenta algunos problemas con la computadora y le comento como podría solucionarlos, me indica que se contactara con su técnico y verán como hacerlo. Me comenta que quiere alguien que le vaya a comprar carne, le indico que no contamos con personal para eso, pero podríamos coordinar la caja de alimentos pero me indica que no esta interesada en la misma, pero agradece por la oferta. Quedamos en la llamada pactada de los lunes, agradece por el llamado y finaliza la llamada."
,negativo,,negativo,,negativo,,,,negativo,230,,"Llame al Sr. me contó que estaba mirando tele, está preocupado por la situción del país, dice que no sabe que es lo que va a pasar porque la gente no puede aguantar mucho sin trabajar. De todos modos, dice que hay que resistir. Agradeció mi llamado, dijo que me quede tranquila que él está bien y que cualquier cosa me llama."
,no relevante,,neutral,,no relevante,,,,no relevante,231,,"10/06/20 - Llamo a AM al 22005790 todavía queda pendiente consultar si los habían ayudado desde el área de Desarrollo Social. Me atiende y me dice que estaba durmiendo la siesta y no me puede atender, me disculpo nuevamente y le indico que llamaré más tarde."
,negativo,,negativo,,negativo,,,,negativo,232,,Hablamos de las compras y cosas de la.pandemia esta muy preocupado
,positivo,,positivo,,positivo,,,,positivo,233,,todo bien
,neutral,,neutral,,necesidades operativas,,,,neutral,234,,Me comuniqué en el día de hoy con la hija de la Sra. Liliana Andriozzi para chequear que le haya llegado la caja de alimentos asignado lo que efectivamente ocurrió. Su madre se encuentra de estado emocional y de salud de una manera estable
,negativo,,negativo,,negativo,,,,negativo,235,,MARIA DEL CARMEN SE CAYO EN LA CALLE SE HIZO UN CORTE EN EL OJO DERECHO  QUEDO CON EL OJO NEGRO
,positivo,,positivo,,positivo,,,,positivo,236,,La Señora Beatríz Dib se encuentra bien.
,positivo,,positivo,,positivo,,,,positivo,237,,animada
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,238,,CAJA A DOMICILIO
,positivo,,positivo,,positivo,,,,positivo,239,,Todo ok
,necesidades operativas,,necesidades operativas,,necesidades operativas,,,,necesidades operativas,240,,Se entrego alimentos en domicilio el 08/07/2020
,no relevante,,no relevante,,no relevante,,,,no relevante,241,,"voy a llamar mañana por que el marido no estaba y me pidio que lo llame a él, todas las comunicaciones fueron con el."
